"norm_cidade","LOCAL_VOTACAO","Escola",match
"MORENO","ESCOLA MUNICIPAL PROFESSORA JOSEFA ALVES","ESCOLA MUNICIPAL PROFESSORA JOSEFA ALVES DA SILVA",1
"CABO DE SANTO AGOSTINHO","ESCOLA PROFESSOR JASON BRANDAO","ESCOLA MUNICIPAL PROF JASON BRANDAO DA SILVA",1
"CABO DE SANTO AGOSTINHO","ESCOLA VEREADOR JOAO CIRIACO","ESCOLA MUN VEREADOR JOAO CIRIACO DA SILVA",1
"CABO DE SANTO AGOSTINHO","ESCOLA MUNICIPAL PADRE ANTONIO MELO","ESCOLA SANTO ANTONIO",1
"PAUDALHO","ESCOLA ELISA FIDELIS","ESCOLA MUNICIPAL ELIZA FIDELIS DA SILVA",1
"VITORIA DE SANTO ANTAO","GRUPO ESCOLAR JOSE DE MELO XAVIER","ESCOLA MUNICIPAL JOSE DE MELO XAVIER JUNIOR",1
"BOM JARDIM","GINASIO 19 DE JULHO","ESCOLA 19 DE JULHO",1
"BOM JARDIM","ESCOLA MOISES AMAVEL","ESCOLA MOISES AMAVEL GERCINO",1
"BOM JARDIM","ESCOLA ESTADUAL JERONIMO HERACLIO","ESCOLA CORONEL JOAO HERACLIO",1
"OROBO","ESCOLA MUNICIPAL DE JUNDIAI","ESCOLA MINIMA JUNDIAI",1
"SURUBIM","ESCOLA MUNICIPAL MANOEL MATIAS","ESCOLA MUNICIPAL MANOEL MATIAS DA SILVA",1
"BEZERROS","ESCOLA MUNICIPAL NOMERIANO PEREIRA","GRUPO ESCOLAR NOMERIANO PEREIRA DA SILVA",1
"TIMBAUBA","COLEGIO ROBERTO MOREIRA","ESCOLA PROFESSOR JOAO ROBERTO MOREIRA",1
"BONITO","ESCOLA ZE CARIOCA","ESCOLINHA ZE CARIOCA",1
"BARREIROS","ESCOLA CRISTIANO BARBOSA","ESCOLA CRISTIANO BARBOSA E SILVA",1
"SAO JOSE DA COROA GRANDE","ESCOLA CARLOS JOSE DIAS","ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR CARLOS JOSE DIAS DA SILVA",1
"CATENDE","COLEGIO SANTA TEREZINHA","COLEGIO DE SANTA TERESINHA",1
"CATENDE","ESCOLA SOFIA SAMPAIO","ESCOLA SOFIA FEIJO SAMPAIO",1
"PANELAS","ESCOLA ESTADUAL GREGORIO BEZERRA","ESCOLA ESTADUAL GREGORIO BEZERRA - PANELAS",1
"TAQUARITINGA DO NORTE","ESCOLA MUNICIPAL PADRE IBIAPINA","ESC MUL PE IBIAPINA-ED INFANTIL E ENS FUNDAMENTAL",1
"SAO BENTO DO UNA","ESCOLA ESTADUAL LENITA CINTRA","ESCOLA MUNICIPAL LENITA FONTES CINTRA",1
"BREJO DA MADRE DE DEUS","ANEXO DA ESCOLA SAO DOMINGOS","ESCOLA MUNICIPAL SAO DOMINGOS",1
"GARANHUNS","ESCOLA SAO CAMILO (AJOC)","ESCOLA MUNICIPAL SAO CAMILO",1
"GARANHUNS","COLEGIO SANTA JOANA D'ARC","COLEGIO SANTA JOANA DARC LTDA",1
"PEDRA","ESCOLA AMALIA CAVALCANTI","ESCOLA MARIA ALICE CAVALCANTI",1
"SERTANIA","ESCOLA ELOI CADETE","ESCOLA MUNICIPAL ELOI CADETE DA SILVA",1
"AGUAS BELAS","ESCOLA MARECHAL RONDON","ESCOLA ESTADUAL INDIGENA FULNI-O MARECHAL RONDON",1
"FLORES","ESCOLA ESTADUAL DARIO GOMES                  - FATIMA","ESCOLA DARIO GOMES DE LIMA",1
"MIRANDIBA","GRUPO ESCOLAR FRANCISCO CARVALHO","ESCOLA FRANCISCO ALVES DE CARVALHO",1
"PETROLANDIA","ESCOLA JOSE ARAUJO","ESCOLA MUNICIPAL JOSE ARAUJO DA SILVA",1
"PETROLANDIA","ESCOLA QUATRO DE OUTUBRO","ESCOLA MUNICIPAL 4 DE OUTUBRO",1
"FLORESTA","ESCOLA MINIMA DE AIRI","ESCOLA MUNICIPAL DE AIRI",1
"VERDEJANTE","ESCOLA JOAQUIM TAVARES","ESCOLA JOAQUIM TAVARES DE SA",1
"OROCO","ESCOLA ESTADUAL BEM TI VI","ESCOLA BEM-TE-VI",1
"SANTA MARIA DA BOA VISTA","ESCOLA SIRIEMA","ESCOLA MUNICIPAL SERIEMA",1
"SANTA MARIA DA BOA VISTA","ESCOLA 13 DE MAIO","ESCOLA TREZE DE MAIO",1
"SANTA MARIA DA BOA VISTA","ESCOLA MUNICIPAL AFONSO ALVES","ESCOLA AFONSO ALVES DA SILVA",1
"OURICURI","ESCOLA MUNICIPAL DE  EXTREMA","GRUPO ESCOLAR POVOADO EXTREMA",1
"SANTA CRUZ","ESCOLA MUNICIPAL HONORATO DE SOUZA","ESC MUL HONORATO DE SOUZA MENDES",1
"SANTA FILOMENA","ESCOLA MUNICIPAL JOSE BERNARDINO","ESCOLA MUL JOSE BERNADINO FILHO",1
"SANTA FILOMENA","ESCOLA MUNICIPAL RAIMUNDO LOPES","ESCOLA MUNICIPAL RAIMUNDO LOPES CAMARA",1
"ARACOIABA","COLEGIO MUNICIPAL SENADOR PAULO GUERRA","COLEGIO MUNICIPAL SENADOR PAULO PESSOA GUERRA",1
"ARACOIABA","ESCOLA D. PEDRO","ESCOLA MUNICIPAL DOM PEDRO II",1
"IGARASSU","ESCOLA ROTARY ADOLFO BROL","ESCOLA ADOLFO BROL",1
"IGARASSU","CRECHE TIA EMOCY","CRECHE TIA EMOCY KRAUSE",1
"LAGOA DOS GATOS","ESCOLA MUNICIPAL JOAO CORREIA","ESCOLA MUNICIPAL JOAO CORREIA DE MELO",1
"JOAO ALFREDO","GRUPO SANTO OTACILIO","ESCOLA MUNICIPAL SANTO OTACILIO",1
"MACHADOS","ESCOLA BRANCA DE NEVE","CRECHE BRANCA DE NEVE",1
"SAO VICENTE FERRER","ESCOLA DR. MANUEL BORBA","ESCOLA REUNIDA DR MANOEL BORBA",1
"JABOATAO DOS GUARARAPES","COLEGIO SOUZA LEAO 2","COLEGIO SOUZA LEAO MEDIO",1
"CARUARU","COLEGIO ESTADUAL DE CARUARU","COLEGIO ATUAL DE CARUARU",1
"CARUARU","COLEGIO MOTIVO","COLEGIO MOTIVO LTDA",1
"CARUARU","ESCOLA DOM VITAL","ESCOLA DOM VITAL - CARUARU",1
"AFRANIO","ANTIGA ESCOLA MUNICIPAL OLAVO BILAC","ESCOLA MUNICIPAL OLAVO BILAC",1
"SANTA CRUZ DO CAPIBARIBE","ESCOLA JOAO MAIA","ESCOLA MUNICIPAL JOAO MAIA NETO",1
"OLINDA","GRUPO ESCOLAR CEL. JOSE DOMINGOS","ESCOLA MUNICIPAL CORONEL JOSE DOMINGOS DA SILVA",1
"ALAGOINHA","ESCOLA PAES GRAMIM","ESCOLA MUNICIPAL JOSE PAES GRAMIM",1
"ALIANCA","ESCOLA REUNIDA DOM BOSCO","ESCOLA DOM BOSCO",1
"ALIANCA","ESCOLA MONSENHOR MARINHO","ESC REUNIDAS MONSENHOR MARINHO",1
"IBIMIRIM","ESCOLA MUNICIPAL FELICIANO MARIANO","ESCOLA MUNICIPAL FELICIANO MARIANO BEZERRA",1
"ITAPISSUMA","ESCOLA MUNICIPAL ZULEIDE MARQUES","ESCOLA MUNICIPAL PROFESSORA ZULEIDE MARQUES VIEIRA",1
"JABOATAO DOS GUARARAPES","COLEGIO ALBERT SABIN","CENTRO EDUCACIONAL SABIN",1
"TERESINA","ESCOLAO DO MOCAMBINHO","CENTRO MUNICIPAL DE EDUCACAO INFANTIL DO MOCAMBINHO",1
"TERESINA","UNIDADE ESCOLAR AFONSO MAFRENSE","INST EDUC AFONSO MAFRENSE",1
"TERESINA","UNIDADE ESCOLAR MUNDINHO FERRAZ","U E MUNDIM FERRAZ",1
"TERESINA","UNIDADE ESCOLAR PEDRO CONDE","ESCOLA MUNICIPAL CORONEL PEDRO BORGES",1
"TERESINA","UNIDADE ESCOLAR PROFESSOR JOAO SOARES","U E PROFESSOR JOAO SOARES DA SILVA",1
"PARNAIBA","UNIDADE ESCOLAR 'EDISON CUNHA II'","U E EDISON CUNHA",1
"PARNAIBA","UNIDADE ESCOLAR EVANGELINA ROSA","ESC MUL EVANGELINA ROSA DA SILVA",1
"OEIRAS","ESCOLA MUNICIPAL LUCAS RODRIGUES","ESCOLA MUNIPAL LUCAS RODRIGUES",1
"SAO FRANCISCO DO PIAUI","GRUPO ESCOLAR MARIO COELHO","U E MARIO COELHO NETO",1
"SAO FRANCISCO DO PIAUI","UNIDADE ESCOLAR DIRCEU ARCOVERDE","ESCOLA MUNICIPAL DIRCEU MENDES ARCOVERDE",1
"SAO JOAO DA VARJOTA","ESCOLA MUNICIPAL CEPISA","ESCOLA MUNICIPAL DE CEPISA",1
"SAO MIGUEL DO FIDALGO","ESCOLA MUNICIPAL DO OITIS","ESC MUL DE OITI",1
"CABECEIRAS DO PIAUI","U. E. SAO BENTO","UNIDADE ESCOLAR DE SAO BENTO",1
"CAMPO MAIOR","GRUPO ESCOLAR TREZE DE MARCO","U E 13 DE MARCO",1
"CAMPO MAIOR","GRUPO ESCOLAR PROFESSORA MAROQUINHA","ESC MUN MAROQUINHA BONA",1
"CAMPO MAIOR","ESCOLA MUNICIPAL VARJOTA","ESC MUN DE VARJOTA",1
"SIGEFREDO PACHECO","UNIDADE ESCOLAR DA PAZ SOUSA","UNIDADE ESCOLAR MARIA DA PAZ SOUSA",1
"PICOS","UNIDADE ESCOLAR DNER","UNID ESC DO DNER",1
"PIRIPIRI","UNIDADE ESCOLAR JUDITE  SANTANA","U E JUDITH ALVES SANTANA",1
"PIRIPIRI","ESCOLA RURAL DO DNOCS","ESC MUL RURAL DO DNOCS",1
"PIRIPIRI","ESCOLA MUNICIPAL JOSE SIMAO","ESC MUL JOSE SIMAO FILHO",1
"PIRIPIRI","ESCOLA MUNICIPAL ANTONIO NUNES","ESC MUL PROF ANTONIO NUNES DE SOUSA",1
"PEDRO II","UNIDADE ESCOLAR DO CIPO","UNID ESC CIPO",1
"PEDRO II","UNIDADE ESCOLAR DO CARANGUEIJO","ESC MUL CARANGUEJO",1
"DOM INOCENCIO","UNIDADE ESCOLAR DO OLHO D'AGUA","ESC MUL OLHO DAGUA",1
"SAO LOURENCO DO PIAUI","UNIDADE ESCOLAR ANTONIO GOMES","UNID ESC JOSE ANTONIO GOMES",1
"SAO RAIMUNDO NONATO","UNIDADE ESCOLAR JOSE FERREIRA","UNIDADE ESCOLAR JOSE FERREIRA DIAS",1
"URUCUI","UNIDADE ESCOLAR SAO PEDRO - SANGUE","UNID ESC SAO PEDRO",1
"URUCUI","UNIDADE ESCOLAR ITAJACY PACHECO","UNID ESC ITAJACY PACHECO MARTINS",1
"BOM JESUS","GRUPO ESCOLAR FRANKLYN DORIA","CETI FRANKLIN DORIA",1
"REDENCAO DO GURGUEIA","GRUPO ESCOLAR FILOMENA NUNES","ESC RURAL FILOMENA NUNES",1
"UNIAO","UNIDADE ESCOLAR JOSE COSTA","GINASIO JOSE COSTA",1
"PIRACURUCA","GRUPO ESCOLAR DO POV. PALMEIRAS","ESCOLA MUNICIPAL DE PALMEIRAS",1
"PIRACURUCA","GRUPO ESCOLAR DO POV. SANTIAGO","ESC MUL DO SANTIAGO",1
"SAO JOAO DA FRONTEIRA","GRUPO ESCOLAR DO POV. CAJUEIRINHO","ESC MUL DE CAJUEIRINHO",1
"SAO JOAO DA FRONTEIRA","GRUPO ESCOLAR DO POV. PERU","ESC MUL PERU",1
"JOSE DE FREITAS","UNIDADE ESCOLAR FIRMO CUNHA","U E FIRMO JOSE DA CUNHA",1
"CANAVIEIRA","UNIDADE ESCOLAR MARIANO ROBERTO","U E MARIANO JOSE ROBERTO",1
"CURIMATA","UNIDADE ESCOLAR MUNICIPAL OLHO D'AGUA","ESC MUL DE OLHO D AGUA",1
"PARNAGUA","UNIDADE ESCOLAR EDVALDO MASCARENHAS","UNID ESC EDIVALDO MASCARENHAS ROCHA",1
"PARNAGUA","ESCOLA MANDACARU","ESC MUL DE MANDACARU",1
"PARNAGUA","ESCOLA TRIUNFO","ESC MUL TRIUNFO I",1
"BOCAINA","GRUPO ESCOLAR ZEZE LEAL","PRE ESC MUL ZEZE LEAL",1
"ALAGOINHA DO PIAUI","UNIDADE ESCOLAR JONAS NICOLAU","UNID ESC JONAS NICOLAU DA ROCHA",1
"AGRICOLANDIA","GRUPO ESCOLAR JOAO FERRI","CETI JOAO FERRY",1
"SAO GONCALO DO PIAUI","UNIDADE ESCOLAR SEBASTIAO ALVES DA CRUZ","U E SEBASTIAO CRUZ",1
"SAO PEDRO DO PIAUI","GRUPO ESCOLAR MANOEL TEIXEIRA","U E MANOEL SOARES TEIXEIRA",1
"PALMEIRAIS","GRUPO ESCOLAR JOAO RIBEIRO","UNID ESC JOAO SOARES DA C RIBEIRO",1
"ALTOS","GRUPO ESCOLAR RAMA BOA","CETI RAMA BOA",1
"BARREIRAS DO PIAUI","ESCOLA TIA LETICIA II","ESCOLINHA TIA LETICIA II",1
"BARREIRAS DO PIAUI","UNIDADE ESCOLAR LUIS DE FRANCA NUNES","ESC MUL LUIZ DE FRANCA",1
"GILBUES","ESCOLA MUNICIPAL DIVINA PASTORA","GINASIO DIVINA PASTORA",1
"GILBUES","E.M. MAL. DEODORO DA FONSECA","ESCOLA MUNICIPAL MARECHAL DEODORO",1
"MONTE ALEGRE DO PIAUI","UNIDADE ESCOLAR ATILA LIRA","UNIDADE ESCOLAR ATILA FREITAS LIRA",1
"SANTA FILOMENA","UNIDADE ESCOLAR MUNICIPAL ALDEINHA","ESC MUL DE ALDEINHA",1
"BREJO DO PIAUI","UNIDADE ESCOLAR ABELARDO PEREIRA","UNIDADE ESC PROFESSOR ABELARDO PEREIRA",1
"BETANIA DO PIAUI","UNIDADE ESCOLAR MARIA NATIVIDADE","UNID ESC MARIA NATIVIDADE COELHO",1
"JACOBINA DO PIAUI","UNIDADE ESCOLAR JOAO DIAS - MATEUS","ESC MUL JOAO DIAS",1
"QUEIMADA NOVA","UNIDADE ESCOLAR MANOEL GOMES","ESCOLINHA MANOEL GOMES",1
"SAO MIGUEL DO TAPUIO","UNIDADE ESCOLAR DA LOCALIDADE JUAZEIRO","UNIDADE ESCOLAR DE JUAZEIRO",1
"ALEGRETE DO PIAUI","UNIDADE ESCOLAR MUNICIPAL JUCENEUDA MAIA","UNID ESC MARIA JUCENEUDA MAIA",1
"ESPERANTINA","ESCOLA MUNICIPAL GERVASIO LAGES","ESCOLA MUNICIPAL GERVASIO LAGES REBELO",1
"BATALHA","ESCOLA NORMAL DEDILA MELO","ESC - GIN MUN DEDILA MELO",1
"BATALHA","UNIDADE ESCOLAR DE FRECHEIRAS","UNIDADE ESCOLAR FREXEIRAS",1
"AGUA BRANCA","UNIDADE ESCOLAR MONSENHOR BOZON","CETI MONSENHOR BOSON",1
"LAGOINHA DO PIAUI","ESCOLA MUNICIPAL ANTONIO CARLOS","UNID ESC ANTONIO CARLOS SOARES",1
"COCAL","U. E. EMILIA SOARES","U E EMILIA SOARES ARAUJO",1
"COCAL","U. E. DIRCEU ARCOVERDE","GRUPO ESCOLAR DIRCEU MENDES ARCOVERDE",1
"LAGOA DO PIAUI","ESCOLA MUNICIPAL DONA OTILIA","ESC MUL DONA OTILIA SOBRAL",1
"PIMENTEIRAS","UNIDADE ESCOLAR ANTONIO PEREIRA","UNIDADE ESCOLAR ANTONIO PEREIRA NETO",1
"PIMENTEIRAS","UNIDADE ESCOLAR PADRE MARCOS","UNIDADE ESCOLAR PADRE MARQUES",1
"CARIDADE DO PIAUI","ESCOLA MUNICIPAL SAO FRANCISCO","CRECHE MUL SAO FRANCISCO",1
"ISAIAS COELHO","UNIDADE ESCOLAR DE SAO DOMINGO","ESCOLA MUNICIPAL SAO DOMINGOS",1
"ITAINOPOLIS","UNIDADE ESCOLAR ENEAS MAIA","U E ENEAS MAIA NETO",1
"CURRALINHOS","ESCOLA MUNICIPAL FAZENDA JORGE","ESC MUL PROJETO FAZENDA JORGE",1
"MONSENHOR GIL","UNIDADE ESCOLAR FRANCISCO CARNEIRO","ESCOLA MUNICIPAL FRANCISCA CARNEIRO LIMA",1
"NAZARE DO PIAUI","UNIDADE ESCOLAR MARIANO VICENTE","ESC MUL MARIANO VICENTE DA SILVA",1
"TERESINA","UNIDADE ESCOLAR MODESTINA BEZERRA","U E MARIA MODESTINA BEZERRA",1
"TERESINA","ESCOLA MUNICIPAL CHAPADINHA","CENTRO MUNICIPAL DE EDUCACAO INFANTIL CHAPADINHA SUL",1
"IPIRANGA DO PIAUI","ESCOLA MUNICIPAL 13 DE MAIO","ESC MUL TREZE DE MAIO",1
"BERTOLINIA","CRECHE TIA NAIR","ESCOLA MUL TIA NAIR",1
"SEBASTIAO LEAL","ESCOLA MUNICIPAL DE SANTA FE","ESCOLA MUNICIPAL SANTA FE",1
"COCAL DE TELHA","UNIDADE ESCOLAR ANISIO TEODORO","ESCOLA MUNICIPAL ANISIO TEODORO DA SILVA",1
"FLORES DO PIAUI","UNIDADE ESCOLAR MANOEL CORREIA","UNID ESC MANOEL CORREA DA SILVA",1
"PASSAGEM FRANCA DO PIAUI","UNIDADE ESCOLAR ATILA FREITAS LIRA","ESCOLA MUNICIPAL ATILA LIRA",1
"PRATA DO PIAUI","UNIDADE ESCOLAR 'ARMANDO MOURA'","U E AMANDO MOURA",1
"SAO FELIX DO PIAUI","FILIAL DA ESCOLA MUNICIPAL MAJOR RICARDO","ESCOLA PUBLICA MUNICIPAL MAJOR RICARDO",1
"LANDRI SALES","GRUPO ESCOLAR PINHEIRO MACHADO","U E DR JOSE PINHEIRO MACHADO",1
"FRANCISCO AYRES","GRUPO ESCOLAR DOMINGOS ALVES","ESC ISOL DOMINGOS ALVES",1
"JUREMA","UNIDADE ESCOLAR BANDEIRA","ESC MUL DO BANDEIRA",1
"SAO JOAO DO ARRAIAL","UNIDADE ESCOLAR ADOLFO MOURAO","ESCOLA MUNICIPAL ADOLFO MOURAO DA SILVA",1
"TANQUE DO PIAUI","ESCOLA MUNICIPAL PEDRO BORGES LEAL","ESC OLA MUL PEDRO BORGES LEAL",1
"ANGICAL DO PIAUI","UNIDADE ESCOLAR MAE INES","ESCCLINHA MAE INES",1
"AVELINO LOPES","PREDIO ESCOLAR DA LAGOA DA PREFERENCIA","ESC MUL PREFERENCIA",1
"AVELINO LOPES","PREDIO ESCOLAR DO BAIXAO DO BONFIM","ESCOLA MUNICIPAL BAIXAO DO BOMFIM II",1
"MORRO CABECA NO TEMPO","PREDIO ESCOLAR DA CRUZ","ESC EST FAZENDA CRUZ",1
"CAJUEIRO DA PRAIA","UNIDADE ESCOLAR MANOEL COSTA","UNID ESC RURAL MANOEL COSTA",1
"LUIS CORREIA","UNIDADE ESCOLAR VICENTE CESARIO","ESCOLA MUNICIPAL VICENTE CESARIO GALENO",1
"AROAZES","UNIDADE ESCOLAR JUSTINO SOARES","GRUPO ESCOLAR JUSTINO SOARES DA SILVA",1
"NOSSA SENHORA DE NAZARE","GRUPO ESCOLAR JOAQUIM MACHADO","ESCOLA MUNICIPAL JOAQUIM MACHADO DA SILVA",1
"NAZARIA","ESCOLA MUNICIPAL CRISPIM","ESCOLA MUNICIPAL CRISPIM II",1
"TERESINA","COLEGIO SINOPSE","COLEGIO SINOPSE CENTRO",1
"TERESINA","CMEI - VILA SANTA CRUZ","CENTRO MUNICIPAL DE EDUCACAO INFANTIL SANTA CRUZ",1
"TERESINA","ESCOLA MUNICIPAL DO SOIM","ESCOLA MUNICIPAL SOIM",1
"TERESINA","C.M.E.I. ABC- CENTRO MUNICIPAL DE EDUCACAO INFANTIL","CENTRO MUNICIPAL DE EDUCACAO INFANTIL ABC",1
"CURITIBA","COLEGIO POSITIVO JUNIOR","ESCOLA POSITIVO JUNIOR - EDUCACAO INFANTIL E ENSINO FUNDAMENTAL",1
"CURITIBA","ESCOLA MADRE ANATOLIA","ESCOLA MADRE ANATOLIA - EDUCACAO INFANTIL E ENSINO FUNDAMENTAL",1
"CURITIBA","ESCOLA MUNICIPAL CARAMURU","CARAMURU C M E I",1
"CURITIBA","ESCOLA BANDEIRANTES","ESCOLA BANDEIRANTES EDUCACAO INFANTIL E ENSINO FUNDAMENTAL",1
"CURITIBA","ESCOLA ESTADUAL DOM ORIONE","CENTRO DE EDUCACAO INFANTIL SAO LUIS ORIONE",1
"DOUTOR ULYSSES","ESCOLA RURAL MUNICIPAL BARRA DO TIGRE","BARRA DO TIGRE E R M EF",1
"SAO JOSE DOS PINHAIS","ESCOLA RURAL MUNICIPAL SANTO ANTONIO","SANTO ANTONIO E R M EI EF",1
"CAMPO LARGO","ESCOLA RURAL MUNICIPAL SAO PEDRO","SAO PEDRO E R M EI EF",1
"SANTO ANTONIO DA PLATINA","COLEGIO ESTADUAL DE MONTE REAL","CENTRO MUNICIPAL DE EDUCACAO INFANTIL MONTE REAL",1
"UNIAO DA VITORIA","ESCOLA MUNICIPAL VICENTE CODAGNONE","VICENTE CODAGNONE E M PROF DR EF",1
"LONDRINA","SENAI","SENAI - LONDRINA",1
"GUARAPUAVA","COLEGIO  ESTADUAL ANA VANDA BASSARA","ANA VANDA BASSARA C E EF M PROF",1
"GUARAPUAVA","ESCOLA MUNICIPAL PROFESSOR PEDRO ITARARE","PEDRO ITARARE E M PROF EF",1
"GUARAPUAVA","ESCOLA MUNICIPAL SAO JOSE","SAO JOSE C M E I",1
"FOZ DO IGUACU","COLEGIO CAESP","CAESP",1
"COLOMBO","ESCOLA MUNICIPAL SANTA FE","SANTA FE E M EI EF",1
"ARAUCARIA","PARQUE CACHOEIRA","CACHOEIRA C M E I",1
"MORRETES","ESCOLA RURAL MUNICIPAL DE CANDONGA - ENSINO FUNDAMENTAL","CANDONGA E R M DE EF",1
"REBOUCAS","ESCOLA RURAL MUNICIPAL SAO MIGUEL","SAO MIGUEL E R M EI EF",1
"RIO AZUL","ESCOLA RURAL MUNICIPAL SAO JOAO I","SAO JOAO I E R M EI EF",1
"ASTORGA","ESCOLA ESTADUAL RUI BARBOSA ENSINO FUNDAMENTAL","RUI BARBOSA E E EF",1
"FRANCISCO BELTRAO","COLEGIO ESTADUAL MARIO DE ANDRADE","MARIO DE ANDRADE C E EF M N PROF",1
"FLORAI","ESCOLA MUNICIPAL DE NOVA BILAC","NOVA BILAC C M E I",1
"CAMBE","ESCOLA MUNICIPAL ALVORADA","ESCOLA MUNICIPAL ALVORADA - ENSINO FUNDAMENTAL",1
"CAMBE","ESCOLA MUNICIPAL JARDIM SANTA IZABEL","ESCOLA MUNICIPAL JARDIM SANTA ISABEL - EIEF",1
"IBAITI","ESCOLA ESTADUAL JULIO FARAH ENSINO FUNDAMENTAL","JULIO FARAH C E EF M",1
"PRANCHITA","ESCOLA MUNICIPAL MARCIA MALACARNE","MARCIA CANZI MALACARNE E M EF",1
"UMUARAMA","ESCOLA ESTADUAL CEEBJA UMUARAMA","CEEBJA UMUARAMA EF M",1
"GUAIRA","ESCOLA ADVENTISTA","ESCOLA ADVENTISTA EDUCACAO INFANTIL E ENSINO FUNDAMENTAL",1
"IVAIPORA","ESCOLA ESTADUAL CEEBEJA IVAIPORA","IVAIPORA E EI EF MOD ED ESP",1
"JURANDA","ESCOLA ESTADUAL RIO VERDE","RIO VERDE E E C EF",1
"UBIRATA","COLEGIO SANTO ANTONIO","SANTO ANTONIO E EI EF",1
"MANDAGUACU","ESCOLA MUNICIPAL SANTO CARRARO - ENSINO FUNDAMENTAL","SANTO CARRARO E M EF",1
"CANDIDO DE ABREU","COLEGIO ESTADUAL ARY BORBA CARNEIRO","ARY B CARNEIRO C E EF PROFIS",1
"PLANALTO","COLEGIO ESTADUAL JOAO ZACCO PARANA","JOAO ZACCO PARANA C E EF M PROF",1
"ALTONIA","ESCOLA ESTADUAL OURO VERDE","OURO VERDE E E DO C EF",1
"TAPIRA","COLEGIO ESTADUAL SAO JOSE","SAO JOSE C E EM",1
"MARINGA","COLEGIO ESTADUAL ADAILE MARIA LEITE","ADAILE M LEITE C E EF M",1
"PEROBAL","ESCOLA MUNICIPAL TIRADENTES - ED. INFANTIL E ENSINO FUNDAMENTAL","TIRADENTES E M EF",1
"FAZENDA RIO GRANDE","ESCOLA MUNICIPAL SANTA FE","SANTA FE E M EI EF",1
"CURITIBA","ESCOLA MUNICIPAL COLOMBO","COLOMBO I C M E I",1
"LONDRINA","ESCOLA PREMIER","ESCOLA PREMIER - EDUCACAO INFANTIL E ENSINO FUNDAMENTAL",1
"FOZ DO IGUACU","COLEGIO ESTADUAL SOL DE MAIO","SOL DE MAIO C E EF M PROF",1
"DOUTOR CAMARGO","COLEGIO ESTADUAL DOUTOR CAMARGO","CAMARGO C E DR EM",1
"PIRAQUARA","CMEI FELIPE ZELLNER","CENTRO MUNICIPAL DE EDUCACAO INFANTIL FELIPE ZELLNER DA SILVA",1
"RIO BRANCO DO SUL","ESCOLA RURAL MUNICIPAL BARRA DO JACARE","BARRA DO JACARE E R M DE EF",1
"GUARATUBA","ESCOLA RURAL MUNICIPAL DO RIO BONITO","RIO BONITO E R M EI EF",1
"CAMPINA DA LAGOA","COLEGIO ESTADUAL EMANUEL CEEBJA","EMANUEL CEEBJA EF M",1
"ALMIRANTE TAMANDARE","ESCOLA MUNICIPAL ARCO IRIS-CAIC","ARCO IRIS E M EF",1
"CURITIBA","ESCOLA MUNICIPAL DOM BOSCO","CENTRO DE EDUCACAO INFANTIL DOM BOSCO AHU",1
"CURITIBA","COLEGIO ESTADUAL TATUQUARA - EFM","TATUQUARA C E EF M",1
"CURITIBA","COLEGIO MARISTA PARANAENSE","COLEGIO MARISTA PARANAENSE - EI EF EM",1
"CURITIBA","COLEGIO POSITIVO","COLEGIO POSITIVO ENSINO MEDIO - SEDE",1
"MARINGA","ESCOLA MUNICIPAL PROFESSOR JOSE HIRAN SALLEE","JOSE HIRAN SALLEE E M EF",1
"PETROPOLIS","ESCOLA MUNICIPAL MARIA CAMPOS","ESCOLA MUNICIPAL PROFESSORA MARIA CAMPOS DA SILVA",1
"PETROPOLIS","ESCOLA MUNICIPAL JOAO PAULO II","EM PAPA JOAO PAULO II",1
"SANTO ANTONIO DE PADUA","CENTRO EDUCACIONAL PROFESSOR RUI AZEVEDO - CEPRA","CENTRO EDUCACIONAL PROFESSOR RUY AZEVEDO",1
"SAO GONCALO","COLEGIO SANTA MONICA","COLEGIO SANTA MONICA - SAO GONCALO",1
"TERESOPOLIS","ESCOLA GEORGE MARCH","ESC GEORGE MARCH LTDA",1
"CACHOEIRAS DE MACACU","ESCOLA  MUNICIPAL FAZENDA FUNCHAL","E M FUNCHAL",1
"CACHOEIRAS DE MACACU","ESCOLA ESTADUAL 7 DE SETEMBRO","ESCOLA MUNICIPAL SETE DE SETEMBRO",1
"MARICA","ESCOLA MUNICIPAL VEREADOR LEVY RIBEIRO","E M VEREADOR LEVY CARLOS RIBEIRO",1
"SAO PEDRO DA ALDEIA","ESCOLA MUNICIPALIZADA PAINEIRA","E MZ PAINEIRA",1
"PARACAMBI","ESCOLA MUNICIPAL ODETE TEIXEIRA","E M PROF ODETE TEIXEIRA DA SILVA",1
"NITEROI","COLEGIO FORUM CULTURAL","GERACAO FORUM CULTURAL",1
"CAMPOS DOS GOYTACAZES","ESCOLA ESTADUAL DE MARCELO","E M MARCELO",1
"CAMPOS DOS GOYTACAZES","CRECHE ESCOLA ORLA 1","CE ORLA I",1
"CAMPOS DOS GOYTACAZES","IFF - CAMPUS GUARUS","IFF - CAMPUS CAMPOS GUARUS",1
"CAMPOS DOS GOYTACAZES","CIEP 270 - ATAIDE DIAS","EM ATAIDE DIAS",1
"NOVA IGUACU","CENTRO EDUCACIONAL VALVERDE","CENTRO EDUCACIONAL VALVERDE - MATRIZ",1
