"norm_cidade","LOCAL_VOTACAO","Escola",match
"AURELINO LEAL","PREDIO ESCOLAR LUIZ MENDES FERREIRA","ESCOLA AGRUPADA LUIS MENDES FERREIRA",1
"GONGOGI","ESCOLA MUNICIPAL PROFESSORA CELCY SALES","ESCOLA MUNICIPAL CELCI MARIA SALES",1
"IRARA","ESCOLINHA ARCO IRIS","ESCOLA ARCO IRIS",1
"OURICANGAS","PREDIO ESCOLAR LOMANTO JUNIOR","ESCOLA ANTONIO LOMANTO JUNIOR",1
"IRAJUBA","GRUPO ESCOLAR MARIA AMELIA SANTOS","ESCOLA MARIA AMELIA MENEZES SANTOS",1
"BARRA","ESCOLA MUNICIPAL CASTRO ALVES","ESCOLA MUNICIPAL CASTRO ALVES - MUTUCA",1
"CAMAMU","CRECHE OROJO","CENTRO EDUCACAO INFANTIL OROJO",1
"MARAU","ESCOLA SAO RAIMUNDO","ESCOLA MUNICIPAL SAO RAIMUNDO - KM 20",1
"NOVA SOURE","ESCOLA MUNICIPAL SAO JOSE DO PAIAIA","ESCOLA MUNICIPAL DE PAIAIA",1
"RIBEIRA DO AMPARO","ESCOLA ESTADUAL DE 1 GRAU MARIA F. DA SILVA","ESC EST 1 GRAU MARIA FERREIRA DA SILVA",1
"OLINDINA","ESCOLA JULIETA VIANA","ESCOLA REUNIDA JULIETA VIANA",1
"CICERO DANTAS","ESCOLA MUNICIPAL DEPUTADO CICERO DANTAS","NEIEF ESCOLA DEPUTADO CICERO DANTAS",1
"FATIMA","ESCOLA MUNICIPAL DOM BOSCOLY","ESCOLA MUNICIPAL DOM BOSCOLY-NUCLEO V",1
"GLORIA","COLEGIO INDIGENA ANGELO PEREIRA","EE - COLEGIO ESTADUAL INDIGENA ANGELO PEREIRA XAVIER",1
"PAULO AFONSO","ESCOLA MUNICIPAL BONAMAO","ESCOLA MUNICIPAL DO BONOMAO",1
"BAIXA GRANDE","ESCOLA ESTADUAL MARIA EDNA","ESCOLA PROFESSORA MARIA EDNA MATOS",1
"MACAJUBA","PREDIO ESCOLAR INACIO TOSTA","ESC DR JOAQUIM INACIO TOSTA",1
"RUY BARBOSA","PREDIO ESCOLAR MUNICIPAL RAQUEL FALCAO","ESCOLA MUNICIPAL RAQUEL FALCAO LIMA",1
"NOVO HORIZONTE","ESCOLA MUNICIPAL JOAO GOMES","ESCOLA MUN JOAO GOMES DE SOUZA",1
"NOVO HORIZONTE","ESCOLA MUNICIPAL OTAVIO DE OLIVEIRA","ESC MUN OTAVIO OLINDO DE OLIVEIRA",1
"NOVO HORIZONTE","ESCOLA MUNICIPAL MARIA AMELIA ALVES","ESC AMELIA ALVES",1
"SEABRA","PREDIO SANTA LUZIA","ESCOLA MUNICIPAL SANTA LUZIA",1
"SEABRA","PREDIO D. PEDRO II","ESCOLA MUNICIPAL DOM PEDRO II",1
"SEABRA","ESCOLA MUNICIPAL DE PRIMEIRO GRAU LAGOA DA BOA VISTA","ESCOLA EST DE 1 GRAU LAGOA BOA VISTA",1
"SEABRA","ESPECIAL CENTRO EDUCACIONAL DE SEABRA","EE - COLEGIO ESTADUAL DE SEABRA",1
"SEABRA","ESCOLA MUNICIPAL NATALIA ALVES","ESCOLA MUNICIPAL NATALIA ALVES DE SOUZA",1
"IRAQUARA","ESCOLA RUY BARBOSA","ESCOLA MUNICIPAL DE 1 GRAU RUI BARBOSA",1
